id,FID_1,FID_1_1,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,MultEvicCt,TotalEvCt,all_occurances,01_occur,c2to3,c4to9,c10plus
,"0","0","55","025","011504","1","550250115041",Block Group 1,G5030,S,"1849504","0","71","142",163,71,64,28,0
,"1","1","55","025","012501","1","550250125011",Block Group 1,G5030,S,"3469020","0","10","25",29,15,13,1,0
,"2","2","55","025","001403","1","550250014031",Block Group 1,G5030,S,"2141835","8875","131","252",285,121,108,50,6
,"3","3","55","025","013301","1","550250133011",Block Group 1,G5030,S,"12509328","0","15","31",37,16,16,5,0
,"4","4","55","025","013301","2","550250133012",Block Group 2,G5030,S,"3830201","0","50","137",157,87,46,22,2
,"5","5","55","025","013302","3","550250133023",Block Group 3,G5030,S,"3117908","13533","6","19",21,13,7,1,0
,"6","6","55","025","013302","1","550250133021",Block Group 1,G5030,S,"3226131","187445","0","2",2,2,0,0,0
,"7","7","55","025","002000","3","550250020003",Block Group 3,G5030,S,"506053","3251","18","43",51,25,21,5,0
,"8","8","55","025","002100","2","550250021002",Block Group 2,G5030,S,"364856","0","138","261",290,123,120,45,2
,"9","9","55","025","002100","4","550250021004",Block Group 4,G5030,S,"1083747","0","55","123",140,68,46,25,1
,"10","10","55","025","002100","3","550250021003",Block Group 3,G5030,S,"476321","0","61","159",176,98,55,18,5
,"11","11","55","025","002200","2","550250022002",Block Group 2,G5030,S,"634187","0","154","297",345,143,129,69,4
,"12","12","55","025","002200","1","550250022001",Block Group 1,G5030,S,"522519","0","74","173",178,99,64,14,1
,"13","13","55","025","002200","3","550250022003",Block Group 3,G5030,S,"726192","0","453","857",1027,403,332,277,15
,"14","14","55","025","002301","2","550250023012",Block Group 2,G5030,S,"1511837","135395","21","48",60,28,21,11,0
,"15","15","55","025","002301","1","550250023011",Block Group 1,G5030,S,"811205","0","431","778",874,347,276,226,25
,"16","16","55","025","002302","1","550250023021",Block Group 1,G5030,S,"3260155","0","147","271",310,124,114,64,8
,"17","17","55","025","012202","1","550250122021",Block Group 1,G5030,S,"2419412","2268","7","18",22,11,9,2,0
,"18","18","55","025","000300","4","550250003004",Block Group 4,G5030,S,"241729","0","21","56",62,35,16,9,2
,"19","19","55","025","000405","3","550250004053",Block Group 3,G5030,S,"727454","0","45","123",135,78,39,18,0
,"20","20","55","025","000405","4","550250004054",Block Group 4,G5030,S,"2134947","45002","295","546",615,251,227,125,12
,"21","21","55","025","000504","3","550250005043",Block Group 3,G5030,S,"2051657","0","129","264",283,133,87,62,1
,"22","22","55","025","000408","2","550250004082",Block Group 2,G5030,S,"919532","0","24","64",69,40,20,9,0
,"23","23","55","025","001604","2","550250016042",Block Group 2,G5030,S,"100227","0","48","133",142,85,45,11,1
,"24","24","55","025","001606","4","550250016064",Block Group 4,G5030,S,"50335","0","0","0",0,0,0,0,0
,"25","25","55","025","002401","1","550250024011",Block Group 1,G5030,S,"678989","0","7","13",16,6,10,0,0
,"26","26","55","025","002401","3","550250024013",Block Group 3,G5030,S,"557563","0","27","52",68,25,22,21,0
,"27","27","55","025","002402","1","550250024021",Block Group 1,G5030,S,"1325486","0","287","525",569,238,184,111,36
,"28","28","55","025","002401","2","550250024012",Block Group 2,G5030,S,"621489","0","18","30",37,12,15,10,0
,"29","29","55","025","002601","1","550250026011",Block Group 1,G5030,S,"814957","6933","139","295",349,156,121,65,7
,"30","30","55","025","002601","2","550250026012",Block Group 2,G5030,S,"727524","0","36","78",91,42,30,19,0
,"31","31","55","025","002700","2","550250027002",Block Group 2,G5030,S,"970699","2730","3","21",24,18,4,2,0
,"32","32","55","025","002700","1","550250027001",Block Group 1,G5030,S,"710716","0","10","15",16,5,10,1,0
